test_id,estimator,estimate,se,lb,ub,switchers,stayers,placebo_idx,notes
B07,waoss,.0000587432936304,.0012443809660773,-.0023802433998811,.0024977299871418,178,881,1,
B08,ivwaoss,.,.,.,.,.,.,0,SKIP_stata_ado_bug_innerSumIV
B09,waoss,-.0037562584903173,.0010186803177899,-.0057528719131854,-.0017596450674491,384,1248,0,
B10,aoss,-.0013837795955916,.0028082150155262,-.006887881026023,.0041203218348398,384,1248,0,
B11,waoss,-.0035075497888913,.0011219212762505,-.0057065154903423,-.0013085840874402,346,1248,0,
B12,waoss,-.0054937128440228,.0021587157120954,-.0097247956397299,-.0012626300483157,38,612,0,
B13,waoss,-.0033620442225188,.0010390449099713,-.0053985722460626,-.0013255161989751,355,1248,0,
B14,aoss,-.0171139364009801,.0041513117320535,-.0252505073958049,-.0089773654061553,232,539,0,
B14,waoss,-.0098871584424059,.0024471803488248,-.0146836319261024,-.0050906849587093,232,539,0,
B15,aoss,-.0020648226590304,.0063400752790654,-.0144913702059985,.0103617248879377,1892880161,6337742162,0,
B15,waoss,-.0016185921717143,.0007595541831959,-.0031073183707783,-.0001298659726504,1892880161,6337742162,0,
B16,waoss,-.0037562584903173,.0010186803177899,-.0057528719131854,-.0017596450674491,384,1248,0,
B17,waoss,-.0033138187996905,.0016573842235496,-.0065622918778477,-.0000653457215333,154,424,0,by_level1_DemGov0
B17_lev0,waoss,-.0033138187996905,.0016573842235496,-.0065622918778477,-.0000653457215333,154,424,0,info_DemGov0
B17_lev1,waoss,-.004760057254187,.0012256446442036,-.0071623207568262,-.0023577937515479,225,765,0,info_DemGov1
B18,waoss,-.0022733,.0008042,-.0038495,-.000697,158,886,0,by_fd_level2
B19,aoss,-.0013837795955916,.0028082150155262,-.006887881026023,.0041203218348398,384,1248,0,
B19,waoss,-.0037562584903173,.0010186803177899,-.0057528719131854,-.0017596450674491,384,1248,0,
B19,aoss,.0016807848332971,.0031090359954361,-.0044129257177576,.0077744953843519,178,881,1,
